                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45 
               model_number                   num_zones                initial_mass                   initial_z                    star_age                   time_step                        Teff               photosphere_L               photosphere_r                  center_eta                   center_h1                  center_he3                  center_he4                  center_c12                  center_n14                  center_o16                 center_ne20                   star_mass                   star_mdot                star_mass_h1               star_mass_he3               star_mass_he4               star_mass_c12               star_mass_n14               star_mass_o16              star_mass_ne20                he_core_mass                 c_core_mass                 o_core_mass                si_core_mass                fe_core_mass      neutron_rich_core_mass                  tau10_mass                tau10_radius                 tau100_mass               tau100_radius                dynamic_time                kh_timescale               nuc_timescale              power_nuc_burn                power_h_burn               power_he_burn                   power_neu                   burn_min1                   burn_min2 
                       2299                        1388     7.0000000000000000E+000     1.0000000000000000E-003     4.9131126861693159E+007     4.5574793512418478E+002     4.0891657626648571E+003     1.9976779358562304E+004     2.8200196925194075E+002     1.2709058775314390E+000     1.0000160549049904E-099     1.0000001095107881E-099     1.0000000000000000E-099     3.1437911987832728E-001     5.0316864469253053E-072     6.8429552247818759E-001     1.3164361949847877E-004     6.9281571326106226E+000    -3.2592777239000678E-009     3.6240201818157964E+000     1.8011229755873431E-004     2.1351274342131985E+000     4.0996730557108912E-001     1.3631612155105303E-003     7.5405930551008293E-001     7.3566461098935896E-004     2.0471990184441755E+000     1.0503057250433667E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     6.9259869406238543E+000     2.8058785987879304E+002     6.9256340202171751E+000     2.8034333771958944E+002     1.8013699702868957E+007     2.0000340207620400E+002     3.4681051476103561E+006     1.8575011967225655E+004     6.5447087115333446E-006     9.4354733107342054E+003     2.4344393481848742E+003     5.0000000000000000E+001     1.0000000000000000E+003 

                          1                           2                           3                           4                           5                           6                           7                           8                           9                          10                          11                          12                          13                          14                          15                          16                          17                          18                          19                          20                          21                          22                          23                          24                          25                          26                          27                          28                          29                          30                          31                          32                          33                          34                          35                          36                          37                          38                          39                          40                          41                          42                          43                          44                          45                          46                          47                          48                          49                          50                          51                          52                          53                          54                          55                          56                          57                          58                          59                          60                          61                          62                          63                          64                          65                          66                          67                          68                          69                          70                          71                          72                          73                          74                          75                          76                          77                          78                          79                          80                          81                          82 
                       zone                        logT                      logRho                        logP                        logR                  luminosity                        logL                    velocity                     entropy            conv_mixing_type                      csound                v_div_csound                total_energy                     v_div_r                         eta                          mu                       logdq                    dq_ratio                           q                      radius                 temperature                         tau                      logtau                    pressure             pgas_div_ptotal                     logPgas                       grada                      free_e                        abar                          ye                 log_opacity                     eps_nuc                 non_nuc_neu                    logPvisc                    eps_grav           mlt_mixing_length                   log_D_mix                log_conv_vel         conv_vel_div_csound               log_mlt_D_mix       pressure_scale_height                       gradT                       gradr                     dlnd_dt                     dlnT_dt                        mass                        mmid                       logxq                          h1                         he3                         he4                         c12                         n14                         o16                         o18                        ne20                        ne22                        mg24                          pp                         cno                    tri_alfa                      burn_c                      burn_n                      burn_o                     burn_ne                     burn_na                     burn_mg                     burn_si                      burn_s                     burn_ar                     burn_ca                     burn_ti                     burn_cr                     burn_fe                     c12_c12                     c12_o16                     o16_o16                       pnhe4                       photo                       other             gradr_sub_grada                        logQ 
                          1     3.6116347159739899E+000    -8.1724682921261476E+000     3.2682171968845215E+000     2.4502521410578901E+000     1.9976779358562304E+004     4.3005254729015867E+000     2.9634274233315154E+000     2.1909343149078875E+001                           0     6.7287391010007390E+005     4.4041348294969211E-006    -4.4831684537011438E+013     1.5098902987651851E-013    -2.0000005029724253E+001     1.2329310181804802E+000    -1.2301029995662557E+001     1.0000000000000000E+000     1.0000000000000000E+000     2.8200196925194075E+002     4.0891657631471671E+003     6.6666666666666663E-001    -1.7609125905568127E-001     1.8544588329370683E+003     9.9961976385647022E-001     3.2680520310225609E+000     3.8853199767658175E-001     1.9138309688188457E-006     1.2233604437078784E+000     8.7841259227512547E-001    -3.0661323070527233E+000     3.2005281040883589E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3730563871872524E-002     1.9986133858264645E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599153037140166E+000     1.2504990362166693E-001     1.2504990362166693E-001    -1.5999060316786935E-013    -2.4374756234874679E-014     6.9281571326106226E+000     6.9281571326088907E+000    -9.8999999999999986E+001     7.5681091729380889E-001     4.5011234402733511E-005     2.4213478175124953E-001     1.1623498594423707E-004     1.1568614765752406E-004     4.6674069378199674E-004     1.1386814944335240E-006     1.0269720867421479E-004     6.7096501175682368E-006     2.0008235286875266E-004     3.2005281040883589E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348209405491485E-001    -3.3957377240741273E+000 
                          2     3.6116347161996378E+000    -8.1724691308953048E+000     3.2682165127363967E+000     2.4502521410532041E+000     1.9976779358562304E+004     4.3005254729015867E+000     2.9634274233625661E+000     2.1909375126366676E+001                           0     6.7287403665315127E+005     4.4041346468394668E-006    -4.4831683553261664E+013     1.5098902987972969E-013    -2.0000005029724253E+001     1.2329311295301966E+000    -1.1752801433727196E+001     2.8299022735039187E-001     9.9999999999949996E-001     2.8200196924889809E+002     4.0891657652717904E+003     6.6666666788910289E-001    -1.7609125825933528E-001     1.8544559115931720E+003     9.9961976325669000E-001     3.2680513466138557E+000     3.8853203022159577E-001     1.9138313504932140E-006     1.2233604437078784E+000     8.7841259227512547E-001    -3.0661337375641979E+000     3.2005219220641785E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3776689589900363E-002     1.9986135427340616E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599158946555983E+000     1.2504976926103495E-001     1.2504976926103495E-001    -1.6012513920254216E-013    -2.4374756502021790E-014     6.9281571326071578E+000     6.9281571326010374E+000    -1.2301029995662557E+001     7.5681091729380889E-001     4.5011234402733511E-005     2.4213478175124953E-001     1.1623498594423707E-004     1.1568614765752407E-004     4.6674069378199674E-004     1.1386814944335240E-006     1.0269720867421477E-004     6.7096501175682368E-006     2.0008235286875264E-004     3.2005219220641785E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348223559402778E-001    -3.3957385632945805E+000 
                          3     3.6116347168904710E+000    -8.1724683211586751E+000     3.2682171968859155E+000     2.4502521410366471E+000     1.9976779358562304E+004     4.3005254729015867E+000     2.9634274234677531E+000     2.1909343149078875E+001                           0     6.7287393259192014E+005     4.4041341747776859E-006    -4.4831684539197562E+013     1.5098902989084539E-013    -2.0000005029724253E+001     1.2329310181804802E+000    -1.1286239346688605E+001     3.4153712081347187E-001     9.9999999999773315E-001     2.8200196923814701E+002     4.0891657717764374E+003     6.6666667220880049E-001    -1.7609125544530405E-001     1.8544588329430203E+003     9.9961976385326190E-001     3.2680520310225609E+000     3.8853199767658175E-001     1.9138309688188457E-006     1.2233604437078784E+000     8.7841259227512547E-001    -3.0661323070527233E+000     3.2005278901081954E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3729591033017807E-002     1.9986139500598904E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599154145258439E+000     1.2504944928499168E-001     1.2504944928499168E-001    -1.5999627778088090E-013    -2.4374757319766147E-014     6.9281571325949178E+000     6.9281571325769971E+000    -1.1644578085399003E+001     7.5681091729380889E-001     4.5011234402733511E-005     2.4213478175124953E-001     1.1623498594423707E-004     1.1568614765752407E-004     4.6674069378199674E-004     1.1386814944335240E-006     1.0269720867421479E-004     6.7096501175682368E-006     2.0008235286875266E-004     3.2005278901081954E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348257265108577E-001    -3.3957377549396170E+000 
                          4     3.6116347195905778E+000    -8.1724681564331156E+000     3.2682171968900224E+000     2.4502521409881686E+000     1.9976779358562304E+004     4.3005254729015867E+000     2.9634274237817562E+000     2.1909343149078875E+001                           0     6.7287380498638272E+005     4.4041348422406275E-006    -4.4831684544186516E+013     1.5098902992369843E-013    -2.0000005029724253E+001     1.2329310181804802E+000    -1.0658530029913637E+001     2.3566260998605185E-001     9.9999999999255995E-001     2.8200196920666815E+002     4.0891657971997047E+003     6.6666668485665503E-001    -1.7609124720596403E-001     1.8544588329605563E+003     9.9961976384380935E-001     3.2680520310225609E+000     3.8853199767658175E-001     1.9138309688188457E-006     1.2233604437078784E+000     8.7841259227512547E-001    -3.0661323070527233E+000     3.2005291041949248E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3726698163681790E-002     1.9986133742406421E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599147845826820E+000     1.2504990197456084E-001     1.2504990197456084E-001    -1.5997293055929013E-013    -2.4374760514786342E-014     6.9281571325590772E+000     6.9281571324830340E+000    -1.1128423447896841E+001     7.5681091729380889E-001     4.5011234402733511E-005     2.4213478175124953E-001     1.1623498594423707E-004     1.1568614765752407E-004     4.6674069378199674E-004     1.1386814944335240E-006     1.0269720867421479E-004     6.7096501175682368E-006     2.0008235286875266E-004     3.2005291041949248E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348209570202091E-001    -3.3957375956142712E+000 
                          5     3.6116347277240215E+000    -8.1724680778108763E+000     3.2682171969023921E+000     2.4502521407824549E+000     1.9976779358562308E+004     4.3005254729015867E+000     2.9634274251075503E+000     2.1909343149078875E+001                           0     6.7287374408931704E+005     4.4041356272182894E-006    -4.4831684565356570E+013     1.5098903006276809E-013    -2.0000005029724250E+001     1.2329310181804798E+000    -1.0223618460493560E+001     3.6735709374339343E-001     9.9999999997060818E-001     2.8200196907309157E+002     4.0891658737813791E+003     6.6666673852598546E-001    -1.7609121224352531E-001     1.8544588330133759E+003     9.9961976381533602E-001     3.2680520310225605E+000     3.8853199767658186E-001     1.9138309688187809E-006     1.2233604437078782E+000     8.7841259227512569E-001    -3.0661323070527233E+000     3.2005296836693152E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3718015168439239E-002     1.9986126617278488E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599144825922458E+000     1.2504989694572044E-001     1.2504989694572044E-001    -1.5996945442252042E-013    -2.4374770139369388E-014     6.9281571324069917E+000     6.9281571321999920E+000    -1.0531773025612569E+001     7.5681091729380900E-001     4.5011234402733511E-005     2.4213478175124956E-001     1.1623498594423707E-004     1.1568614765752408E-004     4.6674069378199674E-004     1.1386814944335240E-006     1.0269720867421479E-004     6.7096501175682377E-006     2.0008235286875266E-004     3.2005296836693152E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348210073086137E-001    -3.3957375332589201E+000 
                          6     3.6116347439262131E+000    -8.1724690617292701E+000     3.2682165127785665E+000     2.4502521402224726E+000     1.9976779358562311E+004     4.3005254729015867E+000     2.9634274287137954E+000     2.1909375126366676E+001                           0     6.7287398310463328E+005     4.4041353497368798E-006    -4.4831683638752617E+013     1.5098903044119562E-013    -2.0000005029724250E+001     1.2329311295301963E+000    -9.9871224076881209E+000     5.8010144489653781E-001     9.9999999991085209E-001     2.8200196870947605E+002     4.0891660263355889E+003     6.6666688462179113E-001    -1.7609111707064265E-001     1.8544559117732390E+003     9.9961976315962542E-001     3.2680513466138552E+000     3.8853203022159577E-001     1.9138313504932851E-006     1.2233604437078784E+000     8.7841259227512547E-001    -3.0661337375641979E+000     3.2005224318417650E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3776616548876606E-002     1.9986128986322055E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599156242543363E+000     1.2504965971519832E-001     1.2504965971519832E-001    -1.6014512473871987E-013    -2.4374789310849151E-014     6.9281571319929922E+000     6.9281571316361585E+000    -1.0049889095241321E+001     7.5681091729380889E-001     4.5011234402733511E-005     2.4213478175124950E-001     1.1623498594423707E-004     1.1568614765752406E-004     4.6674069378199674E-004     1.1386814944335240E-006     1.0269720867421479E-004     6.7096501175682368E-006     2.0008235286875266E-004     3.2005224318417650E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348234990960978E-001    -3.3957385495816972E+000 
                          7     3.6116347644340161E+000    -8.1724688704888759E+000     3.2682165128097584E+000     2.4502521392571541E+000     1.9976779358562326E+004     4.3005254729015876E+000     2.9634274349307757E+000     2.1909375126366676E+001                           0     6.7287383497969853E+005     4.4041348536596701E-006    -4.4831683738093875E+013     1.5098903109356319E-013    -2.0000005029724253E+001     1.2329311295301966E+000    -9.9871224076881209E+000     1.0000000000000009E+000     9.9999999980784260E-001     2.8200196808266264E+002     4.0891662194299442E+003     6.6666713646623355E-001    -1.7609095300874983E-001     1.8544559119064306E+003     9.9961976308783207E-001     3.2680513466138557E+000     3.8853203022159577E-001     1.9138313504932140E-006     1.2233604437078784E+000     8.7841259227512547E-001    -3.0661337375641979E+000     3.2005238413500201E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3800242049335766E-002     1.9986133231223962E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599148862262947E+000     1.2504925076909704E-001     1.2504925076909704E-001    -1.6013748010607007E-013    -2.4374813575044627E-014     6.9281571312793266E+000     6.9281571309224921E+000    -9.7163428168508066E+000     7.5681091729380889E-001     4.5011234402733511E-005     2.4213478175124956E-001     1.1623498594423707E-004     1.1568614765752408E-004     4.6674069378199674E-004     1.1386814944335240E-006     1.0269720867421479E-004     6.7096501175682368E-006     2.0008235286875266E-004     3.2005238413500201E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348277945249876E-001    -3.3957383993569081E+000 
                          8     3.6116347976986973E+000    -8.1724683770086504E+000     3.2682171970088207E+000     2.4502521382918365E+000     1.9976779358562337E+004     4.3005254729015876E+000     2.9634274411477564E+000     2.1909343149078875E+001                           0     6.7287397595269722E+005     4.4041350632313092E-006    -4.4831684821667109E+013     1.5098903174593077E-013    -2.0000005029724253E+001     1.2329310181804802E+000    -9.6360802859923069E+000     4.4561302683375476E-001     9.9999999970483300E-001     2.8200196745584935E+002     4.0891665326386574E+003     6.6666738831067707E-001    -1.7609078894691824E-001     1.8544588334678303E+003     9.9961976357037041E-001     3.2680520310225609E+000     3.8853199767658175E-001     1.9138309688188457E-006     1.2233604437078784E+000     8.7841259227512547E-001    -3.0661323070527233E+000     3.2005274784738662E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3761959481510534E-002     1.9986131450213611E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599156079639261E+000     1.2504941486232973E-001     1.2504941486232973E-001    -1.6009573753365322E-013    -2.4374852933854826E-014     6.9281571305656593E+000     6.9281571297648901E+000    -9.5299321914686441E+000     7.5681091729380889E-001     4.5011234402733511E-005     2.4213478175124953E-001     1.1623498594423707E-004     1.1568614765752407E-004     4.6674069378199669E-004     1.1386814944335240E-006     1.0269720867421479E-004     6.7096501175682368E-006     2.0008235286875269E-004     3.2005274784738662E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348260532720219E-001    -3.3957379724060459E+000 
                          9     3.6116348665030942E+000    -8.1724686718131121E+000     3.2682171765773269E+000     2.4502521361255698E+000     1.9976779358562369E+004     4.3005254729015885E+000     2.9634274551009137E+000     2.1909375126366676E+001                           0     6.7287421828011330E+005     4.4041339152389457E-006    -4.4831681093516992E+013     1.5098903320999080E-013    -2.0000005029724253E+001     1.2329311368538713E+000    -9.3372067841090480E+000     5.0248892950504420E-001     9.9999999947366924E-001     2.8200196604921973E+002     4.0891671804770954E+003     6.6666795347654906E-001    -1.7609042077484349E-001     1.8544587462243485E+003     9.9961976331152169E-001     3.2680520104786082E+000     3.8853207133080803E-001     1.9138496188395824E-006     1.2233604437078784E+000     8.7841259227512547E-001    -3.0661318302155651E+000     3.2005253056601783E-035     0.0000000000000000E+000     0.0000000000000000E+000    -3.3795879427374519E-002     1.9986141549614618E+011    -9.8999999999999986E+001    -9.8999999999999986E+001     0.0000000000000000E+000    -9.8999999999999986E+001     1.6599166404686831E+000     1.2504982704463330E-001     1.2504982704463330E-001    -1.6022000387773756E-013    -2.4374934347153867E-014     6.9281571289641208E+000     6.9281571273705147E+000    -9.2787412597319019E+000     7.5681091729380889E-001     4.5011234402733511E-005     2.4213478175124953E-001     1.1623498594423707E-004     1.1568614765752407E-004     4.6674069378199669E-004     1.1386814944335240E-006     1.0269720867421479E-004     6.7096501175682368E-006     2.0008235286875266E-004     3.2005253056601783E-035     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000     0.0000000000000000E+000    -2.6348219526469785E-001    -3.3957384048193013E+000 
